Date,Algo 1,Algo 2
2014-12-15,-0.016108293,-0.005809857
2014-12-16,0.007826555,-0.004253785
2014-12-17,0.018029129,0.017845634
2014-12-18,0.002200417,0.014153376
2014-12-19,0.012335797,-0.001839993
2014-12-22,-0.003916217,0.006939787
2014-12-23,0.002465631,0.000157861
2014-12-24,0.005568028,0.003994111
2014-12-26,0.002959045,0.005727679
2014-12-29,0.001527394,0.001762883
2014-12-30,0.006072476,-0.002073532
2014-12-31,0.008769903,-0.004627706
2015-01-02,0.012827863,6.05E-05
2015-01-05,0.013711553,-0.015621226
2015-01-06,0.002306612,-0.011983665
2015-01-07,0.003473325,0.009417582
2015-01-08,0.003680681,0.012869601
2015-01-09,-0.009436063,-0.001881311
2015-01-12,-0.019423143,-0.00228169
2015-01-13,0.006974893,-0.003398636
2015-01-14,-0.001203902,-0.003058355
2015-01-15,-0.006852335,-0.009003778
2015-01-16,0.002841896,0.012121413
2015-01-20,-0.01221143,-0.000832919
2015-01-21,0.009159427,-0.001564462
2015-01-22,0.006734655,0.011475535
2015-01-23,0.001228229,-0.000907224
2015-01-26,0.00474755,0.007823672
2015-01-27,0.001098869,-0.002441156
2015-01-28,0.000556219,-0.014038692
2015-01-29,-0.001772238,0.007040395
2015-01-30,-0.009664666,-0.005807031
2015-02-02,-0.000818959,0.008825272
2015-02-03,0.004373215,0.012170463
2015-02-04,0.003917955,-0.001952021
2015-02-05,-0.000698826,0.01152585
2015-02-06,-0.005235333,-0.004095121
2015-02-09,-0.003056944,-0.003189006
2015-02-10,0.002668417,0.005039694
2015-02-11,-0.003209301,0.000753067
2015-02-12,-0.000669282,0.010815475
2015-02-13,-0.001264711,0.007287517
2015-02-17,-0.004024055,0.003001792
2015-02-18,0.010278774,-0.001117439
2015-02-19,-0.003966625,0.000213997
2015-02-20,-0.002065644,0.000996247
2015-02-23,0.005725015,-0.002504527
2015-02-24,0.005636099,0.002792992
2015-02-25,0.002055167,0.004100709
2015-02-26,-0.004783477,0.004708557
2015-02-27,0.000398911,-0.000447081
2015-03-02,-0.008157768,0.003200006
2015-03-03,-0.001942125,-0.000949483
2015-03-04,-0.008588804,0.002416211
2015-03-05,-0.000955048,0.004323159
2015-03-06,-0.004956743,-0.011460322
2015-03-09,-0.005447051,0.001303221
2015-03-10,-0.001391591,-0.012155355
2015-03-11,0.002993868,0.000604757
2015-03-12,-0.002934723,0.011667115
2015-03-13,-0.005422821,-0.005061513
2015-03-16,-0.003394701,0.00411735
2015-03-17,-0.002821575,0.00127363
2015-03-18,0.014428506,0.006268774
2015-03-19,-0.017888451,0.000828959
2015-03-20,0.003833993,0.00440402
2015-03-23,0.015172029,0.001518752
2015-03-24,0.008758308,-0.00088502
2015-03-25,0.012464184,-0.016861934
2015-03-26,0.003445538,-0.001978696
2015-03-27,0.001016228,0.005186846
2015-03-30,0.004634693,0.008232109
2015-03-31,0.002325101,-0.003281212
2015-04-01,-0.002955757,0.003005034
2015-04-02,0.000880663,0.004874031
2015-04-06,-0.00329772,0.006361652
2015-04-07,0.001992029,-0.002592914
2015-04-08,0.006402072,0.003733782
2015-04-09,-0.005503197,-0.001345539
2015-04-10,0.005130121,0.005076203
2015-04-13,-0.003856219,-0.001441197
2015-04-14,0.00078898,0.003273781
2015-04-15,-0.003746575,0.007682683
2015-04-16,-0.002670658,0.001667086
2015-04-17,-0.000193761,-0.010692104
2015-04-20,0.001467785,0.004798668
2015-04-21,0.004552451,-0.001793911
2015-04-22,0.001457504,0.004774361
2015-04-23,-0.001625995,0.005186268
2015-04-24,0.002157352,-0.003065346
2015-04-27,0.000643531,-0.008091865
2015-04-28,0.002743592,0.002191679
2015-04-29,-0.002332508,-0.004240479
2015-04-30,-0.00908316,-0.009500538
2015-05-01,0.005196881,0.003263417
2015-05-04,0.003171212,0.001875594
2015-05-05,-0.00540697,-0.008510309
2015-05-06,0.0067774,-0.00396792
2015-05-07,0.013490617,0.000294869
2015-05-08,-0.002653411,0.010462049
2015-05-11,-0.001509826,-0.000715499
2015-05-12,-0.000582316,-0.002534531
2015-05-13,0.000394928,0.00143905
2015-05-14,0.004243069,0.006485164
2015-05-15,0.001844643,0.002392641
2015-05-18,-0.007829244,0.002921593
2015-05-19,-5.02E-05,-0.003202858
2015-05-20,-0.004340192,-0.001500901
2015-05-21,0.006865928,-0.000162396
2015-05-22,-0.007780338,-0.003892082
2015-05-26,-0.004471469,-0.009912528
